projectid,siteid,estuaryname,stationno,samplecollectiondate,surveytype,netreplicate,scientificname,commonname,status,replicate,length_mm,lengthnotes,identificationnotes,length_category,h2otemp,do_mgl,do_percent,salinity,conductivity
EMPA,CC-CAR,Carmel River ,1,10/21/2024,beach seine ,3,Gasterosteus aculeatus,threespine stickleback,,1.0,26.0,,,Small,15.299999999999999,5.278333333333333,54.35833333333333,9.481666666666667,7107.916666666667
EMPA,CC-CAR,Carmel River ,3,10/22/2024,beach seine ,1,Gasterosteus aculeatus,threespine stickleback,,1.0,25.0,,,Small,16.266666666666666,8.43,89.10000000000001,4.876666666666666,7194.0
EMPA,CC-CAR,Carmel River ,3,10/22/2024,beach seine ,1,Gasterosteus aculeatus,threespine stickleback,,2.0,16.0,,,Small,16.266666666666666,8.43,89.10000000000001,4.876666666666666,7194.0
EMPA,CC-CAR,Carmel River ,3,10/22/2024,beach seine ,1,Gasterosteus aculeatus,threespine stickleback,,3.0,24.0,,,Small,16.266666666666666,8.43,89.10000000000001,4.876666666666666,7194.0
EMPA,CC-CAR,Carmel River ,3,10/22/2024,beach seine ,1,Gasterosteus aculeatus,threespine stickleback,,4.0,20.0,,,Small,16.266666666666666,8.43,89.10000000000001,4.876666666666666,7194.0
EMPA,CC-CAR,Carmel River ,3,10/22/2024,beach seine ,1,Gasterosteus aculeatus,threespine stickleback,,5.0,23.0,,,Small,16.266666666666666,8.43,89.10000000000001,4.876666666666666,7194.0
EMPA,CC-CAR,Carmel River ,3,10/22/2024,beach seine ,1,Gasterosteus aculeatus,threespine stickleback,,6.0,23.0,,,Small,16.266666666666666,8.43,89.10000000000001,4.876666666666666,7194.0
EMPA,CC-CAR,Carmel River ,3,10/22/2024,beach seine ,1,Gasterosteus aculeatus,threespine stickleback,,7.0,25.0,,,Small,16.266666666666666,8.43,89.10000000000001,4.876666666666666,7194.0
EMPA,CC-CAR,Carmel River ,3,10/22/2024,beach seine ,1,Gasterosteus aculeatus,threespine stickleback,,8.0,28.0,,,Small,16.266666666666666,8.43,89.10000000000001,4.876666666666666,7194.0
EMPA,CC-CAR,Carmel River ,3,10/22/2024,beach seine ,1,Gasterosteus aculeatus,threespine stickleback,,9.0,28.0,,,Small,16.266666666666666,8.43,89.10000000000001,4.876666666666666,7194.0
EMPA,CC-CAR,Carmel River ,3,10/22/2024,beach seine ,1,Gasterosteus aculeatus,threespine stickleback,,10.0,29.0,,,Small,16.266666666666666,8.43,89.10000000000001,4.876666666666666,7194.0
EMPA,CC-CAR,Carmel River ,3,10/22/2024,beach seine ,2,Gasterosteus aculeatus,threespine stickleback,,1.0,21.0,,,Small,16.266666666666666,8.43,89.10000000000001,4.876666666666666,7194.0
EMPA,CC-CAR,Carmel River ,3,10/22/2024,beach seine ,2,Gasterosteus aculeatus,threespine stickleback,,2.0,18.0,,,Small,16.266666666666666,8.43,89.10000000000001,4.876666666666666,7194.0
EMPA,CC-CAR,Carmel River ,3,10/22/2024,beach seine ,2,Gasterosteus aculeatus,threespine stickleback,,3.0,20.0,,,Small,16.266666666666666,8.43,89.10000000000001,4.876666666666666,7194.0
EMPA,CC-CAR,Carmel River ,3,10/22/2024,beach seine ,2,Gasterosteus aculeatus,threespine stickleback,,4.0,31.0,,,Small,16.266666666666666,8.43,89.10000000000001,4.876666666666666,7194.0
EMPA,CC-CAR,Carmel River ,3,10/22/2024,beach seine ,3,Gasterosteus aculeatus,threespine stickleback,,1.0,20.0,,,Small,16.266666666666666,8.43,89.10000000000001,4.876666666666666,7194.0
EMPA,CC-CAR,Carmel River ,3,10/22/2024,beach seine ,3,Gasterosteus aculeatus,threespine stickleback,,2.0,33.0,,,Small,16.266666666666666,8.43,89.10000000000001,4.876666666666666,7194.0
EMPA,CC-CAR,Carmel River ,3,10/22/2024,beach seine ,3,Gasterosteus aculeatus,threespine stickleback,,3.0,18.0,,,Small,16.266666666666666,8.43,89.10000000000001,4.876666666666666,7194.0
EMPA,CC-CAR,Carmel River ,3,10/22/2024,beach seine ,3,Gasterosteus aculeatus,threespine stickleback,,4.0,24.0,,,Small,16.266666666666666,8.43,89.10000000000001,4.876666666666666,7194.0
EMPA,CC-CAR,Carmel River ,3,10/22/2024,beach seine ,3,Gasterosteus aculeatus,threespine stickleback,,5.0,20.0,,,Small,16.266666666666666,8.43,89.10000000000001,4.876666666666666,7194.0
EMPA,CC-CAR,Carmel River ,3,10/22/2024,beach seine ,3,Gasterosteus aculeatus,threespine stickleback,,6.0,21.0,,,Small,16.266666666666666,8.43,89.10000000000001,4.876666666666666,7194.0
EMPA,CC-ELK,Elkhorn Slough,1,10/29/2024,beach seine,1,Cymatogaster aggregata,shiner surfperch,native,1.0,62.0,,,Medium,14.233333333333334,8.2925,101.31666666666666,33.58833333333333,40832.916666666664
