projectid,siteid,estuaryname,stationno,samplecollectiondate,surveytype,netreplicate,scientificname,commonname,status,replicate,length_mm,lengthnotes,identificationnotes
EMPA,CC-ADLC,Arroyo de la Cruz,1,2024-10-14,beach seine,1,Not recorded,Not recorded,Not recorded,-88,-88,,
EMPA,CC-ADLC,Arroyo de la Cruz,1,2024-10-14,beach seine,2,Not recorded,Not recorded,Not recorded,-88,-88,,
EMPA,CC-ADLC,Arroyo de la Cruz,1,2024-10-14,beach seine,3,Not recorded,Not recorded,Not recorded,-88,-88,,
EMPA,CC-ADLC,Arroyo de la Cruz,1,2024-10-14,beach seine,4,Gasterosteus aculeatus,threespine stickleback,native,1,17,,
EMPA,CC-ADLC,Arroyo de la Cruz,1,2024-10-14,beach seine,4,Gasterosteus aculeatus,threespine stickleback,native,2,14,,
EMPA,CC-ADLC,Arroyo de la Cruz,1,2024-10-14,beach seine,4,Gasterosteus aculeatus,threespine stickleback,native,3,14,,
EMPA,CC-ADLC,Arroyo de la Cruz,1,2024-10-14,beach seine,4,Gasterosteus aculeatus,threespine stickleback,native,4,17,,
EMPA,CC-ADLC,Arroyo de la Cruz,1,2024-10-14,beach seine,5,Gasterosteus aculeatus,threespine stickleback,native,1,39,,
EMPA,CC-ADLC,Arroyo de la Cruz,1,2024-10-14,beach seine,5,Gasterosteus aculeatus,threespine stickleback,native,2,26,,
EMPA,CC-ADLC,Arroyo de la Cruz,1,2024-10-14,beach seine,5,Gasterosteus aculeatus,threespine stickleback,native,3,22,,
EMPA,CC-ADLC,Arroyo de la Cruz,1,2024-10-14,beach seine,5,Gasterosteus aculeatus,threespine stickleback,native,4,21,,
EMPA,CC-ADLC,Arroyo de la Cruz,1,2024-10-14,beach seine,5,Gasterosteus aculeatus,threespine stickleback,native,5,18,,
EMPA,CC-ADLC,Arroyo de la Cruz,1,2024-10-14,beach seine,5,Gasterosteus aculeatus,threespine stickleback,native,6,22,,
EMPA,CC-ADLC,Arroyo de la Cruz,1,2024-10-14,beach seine,5,Gasterosteus aculeatus,threespine stickleback,native,7,23,,
EMPA,CC-ADLC,Arroyo de la Cruz,1,2024-10-14,beach seine,5,Gasterosteus aculeatus,threespine stickleback,native,8,19,,
EMPA,CC-ADLC,Arroyo de la Cruz,1,2024-10-14,beach seine,5,Gasterosteus aculeatus,threespine stickleback,native,9,24,,
EMPA,CC-ADLC,Arroyo de la Cruz,1,2024-10-14,beach seine,5,Gasterosteus aculeatus,threespine stickleback,native,10,18,,
EMPA,CC-ADLC,Arroyo de la Cruz,1,2024-10-14,beach seine,5,Eucyclogobius newberryi,tidewater goby,native,1,31,,
EMPA,CC-ADLC,Arroyo de la Cruz,1,2024-10-14,beach seine,5,Eucyclogobius newberryi,tidewater goby,native,2,31,,
EMPA,CC-ADLC,Arroyo de la Cruz,1,2024-10-14,beach seine,5,Eucyclogobius newberryi,tidewater goby,native,3,34,,
EMPA,CC-ADLC,Arroyo de la Cruz,2,2024-10-14,beach seine,1,Eucyclogobius newberryi,tidewater goby,native,1,23,,
EMPA,CC-ADLC,Arroyo de la Cruz,2,2024-10-14,beach seine,1,Oncorhynchus mykiss,steelhead trout,native,1,185,,
EMPA,CC-ADLC,Arroyo de la Cruz,2,2024-10-14,beach seine,1,Oncorhynchus mykiss,steelhead trout,native,2,165,,
EMPA,CC-ADLC,Arroyo de la Cruz,2,2024-10-14,beach seine,1,Oncorhynchus mykiss,steelhead trout,native,3,200,,
EMPA,CC-ADLC,Arroyo de la Cruz,2,2024-10-14,beach seine,2,Not recorded,Not recorded,Not recorded,-88,-88,,
EMPA,CC-ADLC,Arroyo de la Cruz,2,2024-10-14,beach seine,3,Gasterosteus aculeatus,threespine stickleback,native,1,31,,
EMPA,CC-ADLC,Arroyo de la Cruz,2,2024-10-14,beach seine,3,Gasterosteus aculeatus,threespine stickleback,native,2,16,,
EMPA,CC-ADLC,Arroyo de la Cruz,2,2024-10-14,beach seine,3,Gasterosteus aculeatus,threespine stickleback,native,3,17,,
EMPA,CC-ADLC,Arroyo de la Cruz,2,2024-10-14,beach seine,3,Gasterosteus aculeatus,threespine stickleback,native,4,24,,
EMPA,CC-ADLC,Arroyo de la Cruz,2,2024-10-14,beach seine,3,Gasterosteus aculeatus,threespine stickleback,native,5,15,,
EMPA,CC-ADLC,Arroyo de la Cruz,2,2024-10-14,beach seine,3,Gasterosteus aculeatus,threespine stickleback,native,6,11,,
EMPA,CC-ADLC,Arroyo de la Cruz,2,2024-10-14,beach seine,3,Gasterosteus aculeatus,threespine stickleback,native,7,12,,
EMPA,CC-ADLC,Arroyo de la Cruz,2,2024-10-14,beach seine,3,Eucyclogobius newberryi,tidewater goby,native,1,36,,
EMPA,CC-ADLC,Arroyo de la Cruz,2,2024-10-14,beach seine,3,Eucyclogobius newberryi,tidewater goby,native,2,32,,
EMPA,CC-ADLC,Arroyo de la Cruz,2,2024-10-14,beach seine,3,Eucyclogobius newberryi,tidewater goby,native,3,23,,
EMPA,CC-ADLC,Arroyo de la Cruz,2,2024-10-14,beach seine,3,Eucyclogobius newberryi,tidewater goby,native,4,31,,
EMPA,CC-ADLC,Arroyo de la Cruz,2,2024-10-14,beach seine,3,Eucyclogobius newberryi,tidewater goby,native,5,29,,
EMPA,CC-ADLC,Arroyo de la Cruz,2,2024-10-14,beach seine,3,Eucyclogobius newberryi,tidewater goby,native,6,28,,
EMPA,CC-ADLC,Arroyo de la Cruz,2,2024-10-14,beach seine,3,Eucyclogobius newberryi,tidewater goby,native,7,28,,
EMPA,CC-ADLC,Arroyo de la Cruz,2,2024-10-14,beach seine,3,Eucyclogobius newberryi,tidewater goby,native,8,31,,
EMPA,CC-ADLC,Arroyo de la Cruz,2,2024-10-14,beach seine,4,Gasterosteus aculeatus,threespine stickleback,native,-88,-88,,
EMPA,CC-ADLC,Arroyo de la Cruz,2,2024-10-14,beach seine,4,Eucyclogobius newberryi,tidewater goby,native,-88,-88,,
EMPA,CC-ADLC,Arroyo de la Cruz,2,2024-10-14,beach seine,4,Cottus asper,,native,-88,-88,,
EMPA,CC-ADLC,Arroyo de la Cruz,2,2024-10-14,beach seine,4,Actinemys marmorata,western pond turtle,native,-88,-88,,
EMPA,CC-ADLC,Arroyo de la Cruz,2,2024-10-14,beach seine,5,Gasterosteus aculeatus,threespine stickleback,native,-88,-88,,
EMPA,CC-ADLC,Arroyo de la Cruz,2,2024-10-14,beach seine,5,Eucyclogobius newberryi,tidewater goby,native,-88,-88,,
EMPA,CC-CAR,Carmel River ,1,10/21/2024,beach seine ,3,Gasterosteus aculeatus,threespine stickleback,,1,26,,
EMPA,CC-CAR,Carmel River ,1,10/21/2024,beach seine ,2,Not recorded ,Not recorded ,Not recorded ,-88,-88,,
EMPA,CC-CAR,Carmel River ,1,10/21/2024,beach seine ,4,Not recorded ,Not recorded ,Not recorded ,-88,-88,,
EMPA,CC-CAR,Carmel River ,1,10/21/2024,beach seine ,5,Not recorded ,Not recorded ,Not recorded ,-88,-88,,
EMPA,CC-CAR,Carmel River ,1,10/21/2024,beach seine ,1,Not recorded ,Not recorded ,Not recorded ,-88,-88,,
EMPA,CC-CAR,Carmel River ,3,10/22/2024,beach seine ,1,Gasterosteus aculeatus,threespine stickleback,,1,25,,
EMPA,CC-CAR,Carmel River ,3,10/22/2024,beach seine ,1,Gasterosteus aculeatus,threespine stickleback,,2,16,,
EMPA,CC-CAR,Carmel River ,3,10/22/2024,beach seine ,1,Gasterosteus aculeatus,threespine stickleback,,3,24,,
EMPA,CC-CAR,Carmel River ,3,10/22/2024,beach seine ,1,Gasterosteus aculeatus,threespine stickleback,,4,20,,
EMPA,CC-CAR,Carmel River ,3,10/22/2024,beach seine ,1,Gasterosteus aculeatus,threespine stickleback,,5,23,,
EMPA,CC-CAR,Carmel River ,3,10/22/2024,beach seine ,1,Gasterosteus aculeatus,threespine stickleback,,6,23,,
EMPA,CC-CAR,Carmel River ,3,10/22/2024,beach seine ,1,Gasterosteus aculeatus,threespine stickleback,,7,25,,
EMPA,CC-CAR,Carmel River ,3,10/22/2024,beach seine ,1,Gasterosteus aculeatus,threespine stickleback,,8,28,,
EMPA,CC-CAR,Carmel River ,3,10/22/2024,beach seine ,1,Gasterosteus aculeatus,threespine stickleback,,9,28,,
EMPA,CC-CAR,Carmel River ,3,10/22/2024,beach seine ,1,Gasterosteus aculeatus,threespine stickleback,,10,29,,
EMPA,CC-CAR,Carmel River ,3,10/22/2024,beach seine ,1,Gasterosteus aculeatus,threespine stickleback,,-88,-88,,
EMPA,CC-CAR,Carmel River ,3,10/22/2024,beach seine ,2,Gasterosteus aculeatus,threespine stickleback,,1,21,,
EMPA,CC-CAR,Carmel River ,3,10/22/2024,beach seine ,2,Gasterosteus aculeatus,threespine stickleback,,2,18,,
EMPA,CC-CAR,Carmel River ,3,10/22/2024,beach seine ,2,Gasterosteus aculeatus,threespine stickleback,,3,20,,
EMPA,CC-CAR,Carmel River ,3,10/22/2024,beach seine ,2,Gasterosteus aculeatus,threespine stickleback,,4,31,,
EMPA,CC-CAR,Carmel River ,3,10/22/2024,beach seine ,3,Gasterosteus aculeatus,threespine stickleback,,1,20,,
EMPA,CC-CAR,Carmel River ,3,10/22/2024,beach seine ,3,Gasterosteus aculeatus,threespine stickleback,,2,33,,
EMPA,CC-CAR,Carmel River ,3,10/22/2024,beach seine ,3,Gasterosteus aculeatus,threespine stickleback,,3,18,,
EMPA,CC-CAR,Carmel River ,3,10/22/2024,beach seine ,3,Gasterosteus aculeatus,threespine stickleback,,4,24,,
EMPA,CC-CAR,Carmel River ,3,10/22/2024,beach seine ,3,Gasterosteus aculeatus,threespine stickleback,,5,20,,
EMPA,CC-CAR,Carmel River ,3,10/22/2024,beach seine ,3,Gasterosteus aculeatus,threespine stickleback,,6,21,,
EMPA,CC-CAR,Carmel River ,3,10/22/2024,beach seine ,4,Gasterosteus aculeatus,threespine stickleback,,-88,-88,,
EMPA,CC-CAR,Carmel River ,3,10/22/2024,beach seine ,5,Gasterosteus aculeatus,threespine stickleback,,-88,-88,,
EMPA,CC-CAR,Carmel River ,2,10/21/2024,beach seine ,1,Not recorded ,Not recorded ,Not recorded ,-88,-88,,
EMPA,CC-ELK,Elkhorn Slough,1,10/29/2024,beach seine,1,Cymatogaster aggregata,shiner surfperch,native,1,62,,
EMPA,CC-ELK,Elkhorn Slough,1,10/29/2024,beach seine,1,Cymatogaster aggregata,shiner surfperch,native,2,53,,
EMPA,CC-ELK,Elkhorn Slough,1,10/29/2024,beach seine,1,Syngnathus leptorhynchus,bay pipefish,native,1,193,,
EMPA,CC-ELK,Elkhorn Slough,1,10/29/2024,beach seine,1,Syngnathus leptorhynchus,bay pipefish,native,2,225,,
EMPA,CC-ELK,Elkhorn Slough,1,10/29/2024,beach seine,1,Clevelandia ios,arrow goby,native,1,37,,
EMPA,CC-ELK,Elkhorn Slough,1,10/29/2024,beach seine,2,Clevelandia ios,arrow goby,native,1,47,,
EMPA,CC-ELK,Elkhorn Slough,1,10/29/2024,beach seine,3,Not recorded,Not recorded,Not recorded,1,-88,,
EMPA,CC-ELK,Elkhorn Slough,1,10/29/2024,beach seine,4,Not recorded,Not recorded,Not recorded,1,-88,,
EMPA,CC-ELK,Elkhorn Slough,1,10/29/2024,beach seine,5,Syngnathus leptorhynchus,bay pipefish,native,1,223,,
EMPA,CC-ELK,Elkhorn Slough,1,10/29/2024,beach seine,5,Syngnathus leptorhynchus,bay pipefish,native,2,192,,
EMPA,CC-ELK,Elkhorn Slough,1,10/29/2024,beach seine,5,Syngnathus leptorhynchus,bay pipefish,native,3,169,,
EMPA,CC-ELK,Elkhorn Slough,1,10/29/2024,beach seine,5,Syngnathus leptorhynchus,bay pipefish,native,4,199,,
EMPA,CC-ELK,Elkhorn Slough,1,10/29/2024,beach seine,5,Syngnathus leptorhynchus,bay pipefish,native,5,148,,
EMPA,CC-ELK,Elkhorn Slough,1,10/29/2024,beach seine,5,Syngnathus leptorhynchus,bay pipefish,native,6,143,,
EMPA,CC-ELK,Elkhorn Slough,1,10/29/2024,beach seine,5,Syngnathus leptorhynchus,bay pipefish,native,7,121,,
